Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
MTSC,MTS Systems Corp.,45.67,0.026536931,867.59092,23.24,0.610097107,0.813718277
MXIM,"Maxim Integrated Products, Inc.",61.16,0.030113727,16818.26742,21.21,0.651827196,1.633578358
NATI,National Instruments Corp.,43.8,0.022461815,5834.74668,35.52,0.810372771,1.306945011
NEXOF,"NEXON Co., Ltd.",15.85,0.00145092,13986.38837,13.37,0.019393724,-0.269095528
NICE,NICE Ltd. (Israel),176.89,N/A,11268.58597,58.96,N/A,0.730268918
NOK,Nokia Oyj,4.16,0.026971154,23365.20092,-2447.06,-66,0.863367447
NOKBF,Nokia Oyj,4.21,0.047505938,23646.03266,-2476.47,-117.6470588,0.900621108
NPEGF,"Nippon Electric Glass Co., Ltd.",19.7,0.046436945,1903.387878,-6.13,-0.284543645,-0.229016877
NPSNY,Naspers Ltd.,35.5,0.00172507,77387.36874,5.53,0.009534782,1.253001756
NTAP,"NetApp, Inc.",51.965,0.034258053,11879.41667,12.07,0.427211516,1.68592464
NTDOF,"Nintendo Co., Ltd.",359.17,0.023180609,42785.68052,21,0.486759595,0.545326182
NTDOY,"Nintendo Co., Ltd.",44.83,N/A,42722.54493,20.97,N/A,0.654091574
NTES,"NetEase, Inc.",345.005,0.018123088,45196.64411,15.52,0.28524124,1.564497882
NTP,"Nam Tai Property, Inc.",7.96,N/A,319.29348,-22.48,N/A,0.435638213
NVDA,NVIDIA Corp.,294.01,0.00207321,188924.4,64.19,0.139689192,2.184423584
NVEC,NVE Corp.,70.67,0.055881531,346.87668,24.4,1.382599979,0.814613593
NXCLF,"Lifull Co., Ltd.",4.48,0.982142857,601.061418,35.25,34.6184107,0.53574535
OMRNY,OMRON Corp.,60.25,N/A,12372.93325,39.66,N/A,1.181402411
OPESY,,,N/A,N/A,N/A,N/A,N/A
ORCL,Oracle Corp.,54.68,0.016393443,178056.6515,16.9,0.281176616,1.104548003
OSAGF,OSRAM Licht AG,51.57,N/A,4857.054028,-13.94,N/A,-0.032918674
OTEX,Open Text Corp.,46.385,0.014343601,12804.80788,38.32,0.560308026,0.861705932
OTEX.TO,Open Text Corporation,62.76,0.0146,16550,50.6,55.83,N/A
OXINF,Oxford Instruments Plc,20.7,0.009119048,1185.470163,27.23,0.248276063,0.040624028
PCRFF,Panasonic Corp.,10.73,0.025715352,25031.62038,9.47,0.243578505,0.433347126
PCRFY,Panasonic Corp.,10.71,N/A,24984.96312,9.45,N/A,0.965857469
PCTI,"PCTEL, Inc.",8.77,0.025028441,163.33578,-21.02,-0.527198658,0.730021931
PEGA,"Pegasystems, Inc.",99.16,0.001178203,8113.06545,-86.46,-0.104730319,1.271000151
PKE,Park Aerospace Corp.,16.03,0.024213075,338.97388,37.49,0.935453695,0.723903627
PLPC,Preformed Line Products Co.,55.61,0.014278065,280.59824,12.2,0.175442444,1.299547372
PLT,"Plantronics, Inc.",14.68,0.041695622,574.56392,-3.4,-0.138789295,1.561695942
PMCUF,Pro Medicus Ltd.,14.8,N/A,1538.4156,100,N/A,0.340907381
POWI,"Power Integrations, Inc.",98.825,0.00691768,2988.95022,15.02,0.106366814,1.719466479
PRYMF,Prysmian SpA,25,0.0172,6580.53695,26.95,0.463461953,-103026.9525
PRYMY,Prysmian SpA,13.04,0.037131902,6864.816146,28.11,1.043759431,1.149014943
PTFRY,PT Tower Bersama Infrastructure Tbk,4.25,0.114917647,9193.198163,38.64,4.44,2.398707645
PTG.TO,"Pivot Technology Solutions, Inc.",1.87,0.0884,75.76,N/A,N/A,N/A
PXGYF,PAX Global Technology Ltd.,0.5384,0.018952339,588.045864,7.88,0.149398819,0.371318274
QADA,"QAD, Inc.",53.15,0.004431315,1102.21016,-58.44,-0.262295082,0.839187005
QADB,"QAD, Inc.",37,0.006486486,752.987,-48.2,-0.32586558,0.257053429
QCOM,"QUALCOMM, Inc.",87.03,0.027718788,102267.7888,24.51,0.698335821,1.459088962
QTRH,"Quarterhill, Inc.",1.2,0.031396835,142.5804,-9.49,-0.297835589,1.010237921
QTRH.TO,Quarterhill Inc.,1.96,0.0248,231.69,N/A,N/A,N/A
RELL,Richardson Electronics Ltd.,4.8,0.05,52.9824,-7.74,-0.38935756,0.079203442
RFIL,RF Industries Ltd.,6.905,0.011730205,65.5743,18.47,0.212652844,0.490399019
RHDGF,Retail Holdings NV,2.3,0.434782609,11.8841,-0.54,-0.235061821,0.247013694
RNSHF,Renishaw Plc,52.65,0.014650047,3832.314525,62.49,0.915410596,0.079276315
RPGRF,REA Group Ltd.,45,0.018250766,5927.175,34.16,0.623413152,N/A
RSTAY,RIB Software SE,61.5,0.006528455,1502.142789,77.84,0.508163524,-0.130662767
RTMVF,Rightmove Plc,8.96,0.009822904,7830.8602,36.63,0.359825104,0.078931449
RTMVY,Rightmove Plc,18.05,0.008107812,7887.668895,36.9,0.29915372,0.641606034
SABR,Sabre Corp.,21.885,0.025168539,6093.9635,25.82,0.660844937,0.879976907
SAIC,Science Applications International Corp.,94.83,0.014791667,5681.328,35.67,0.534196073,1.15443777
SAP,SAP SE,136.63,0.012094922,165230.048,44.01,0.539348645,0.991489836
SAPGF,SAP SE,138,0.010869565,164716.8,44.45,0.483169593,0.850786777
SCND,"Scientific Industries, Inc.",10.5,N/A,15.7815,47.19,N/A,-0.053918727
SEKEF,Seiko Epson Corp.,14.98,0.03806719,5182.025288,17.5,0.666020218,-0.096494815
SEPJF,Spectris Plc,34.75,0.017956835,4030.918233,13.73,0.24662082,0.019366221
SEPJY,Spectris Plc,18.5,0.018869459,4291.912939,69.37,1.308905137,0.036017118
SGAMF,"Sega Sammy Holdings, Inc.",14.43,0.025495563,3390.629524,14.73,0.375524114,0.06471911
SGPYY,The Sage Group Plc,40.87,0.018842892,11148.30442,32.62,0.614612131,0.680914945
SILC,Silicom Ltd.,33.85,N/A,257.644068,24.68,N/A,0.760851325
SIMO,Silicon Motion Technology Corp.,46.02,0.02749577,1726.725929,25.09,0.708485476,1.447795781
SKLTF,SEEK Ltd.,12.58,0.026165149,4412.844391,34.19,0.894693042,-0.043976802
SKSJF,"Shinko Shoji Co., Ltd.",7.83,0.033454814,289.856358,37.02,1.238539939,0
SLP,"Simulations Plus, Inc.",38.825,0.006155424,687.90057,74.75,0.462249615,1.198424678
SMTGF,SMA Solar Technology AG,39.65,N/A,1375.855,-6.2,N/A,-0.277283389
SMTOF,Sumitomo Electric Industries Ltd.,13.1,0.033700853,10216.68667,12.68,0.427460466,0.260124023
SNE,Sony Corp.,65.94,0.005492958,81851.084,13.52,0.075187662,1.135385357
SNEJF,Sony Corp.,67.39,0.005459281,82648.25518,13.82,0.075454484,0.377079752
SNPTF,"Sunny Optical Technology (Group) Co., Ltd.",16.62,0.039831528,18229.647,45.29,1.803814714,1.140766087
SPHHF,Sophos Group Plc,7.35,0.004095238,3626.1666,415.25,1.700564972,-0.193940943
SQNXF,"Square Enix Holdings Co., Ltd.",44.6,0.00962052,5320.270802,20.17,0.194072637,0.07091906
SRMC,Sierra Monitor Corp.,3.24,0.00308642,N/A,N/A,N/A,N/A
SSNC,"SS&C Technologies Holdings, Inc.",64.01,0.005856064,16398.41679,45.28,0.268855243,1.492192833
STM,STMicroelectronics NV,30.5,0.00651341,27983.84149,25.93,0.173439891,2.105818731
STMEF,STMicroelectronics NV,31.25,0.007759258,27921.29778,27.04,0.209791328,0.592960012
